,EV/EBIT,Op. In./(NWC+FA),P/E,P/B,P/S,Op. In./Interest Expense,Working Capital Ratio,RoE,ROCE,Debt/Equity,Debt Ratio,Cash Ratio,Asset Turnover,Gross Profit Margin,Perf
4093,5.032684145,0.363250986,11.33625868,1.485872092,0.348599183,84.3625158,1.481610664,0.131072529,0.155693992,1.431289575,1.698670638,0.544711731,56.78763158,0.150013419,0.009252406
12969,-20.54347364,-0.042181946,-68.77250879,1.354809679,2.912451555,13.35920926,4.489656494,-0.019699873,0,0.214041553,5.671990025,4.070480503,2.503679833,0.715598684,0.289308176
9867,18.38907284,0.226814629,25.7837115,3.80657069,4.486717071,-17.13464965,3.151356693,0.147634707,0.18768007,0.263185651,4.799599246,1.563222802,2.821548865,0.600062983,-0.1
4512,17.96460726,0.356220574,23.43055668,7.650773254,3.548253927,81.86065574,5.295381802,0.326529726,0.346451233,0.442437139,3.260208088,0.382258802,5.368836505,0.483152404,0
7308,-500,0.090933991,-32.20377049,2.092044728,0.769660441,1.475555556,1.937675463,-0.064962726,0,2.257011005,1.443063857,0.793374509,3.865219586,0.262504897,-0.197141155
3654,12.33593498,0.315398296,20.57840509,4.105492622,1.118145012,183.2748378,1.615890691,0.199504899,0.265375804,0.815107622,2.226831861,0.181262075,5.728913657,0.312875563,0.035804702
9844,9.129551973,0.349186792,14.90063953,2.559264986,1.494196951,46.45901639,2.978365385,0.171755379,0.203345304,0.507277514,2.971307564,1.258293269,7.175836714,0.586241012,0.505295834
1715,11.64112655,0.380701588,16.07715948,2.49077943,3.563108732,-200,3.46964509,0.154926586,0.169167269,0.36570028,3.734479723,1.767589539,2.673870537,0.912708791,0.224573125
6199,14.73187946,0.235142124,23.4440156,3.935593484,5.635674594,800,7.857222794,0.167871987,0.227128911,0.143589926,7.964276869,4.484217468,2.569065789,0.52450643,0.375304747
9214,21.46103956,0.036302612,20.30941128,1.793981217,12.81742951,2.809126877,0.604215299,0.088332507,0.070467095,0.576044221,2.735977836,0.328058278,0.120212058,0.723213556,0.169848585
1376,-21.4072594,-2.582705235,-14.22855695,-2.784881919,14.01811425,-11.57325422,1.541921952,0.195724832,0,0,0.506417461,1.34829166,2000,1,0
12271,83.87224997,0.206788287,264.2036228,8.092657512,5.539071263,5.883442584,3.39304393,0.030630381,0.047750688,1.283016679,1.779413094,2.469547443,10.59219379,0.954895911,0.216996259
1667,16.01302215,0.440089918,21.29931328,2.966532922,1.67523136,3.483936822,2.672772795,0.139278336,0.088632431,2.873834256,1.347967179,0.140173558,5.670637961,0.321983645,0.194557823
957,35.75141068,0.470382433,56.08906618,30.63785507,6.592977626,9.29175446,1.350724167,0.546235784,0.421418261,3.689445788,1.271043419,0.562060532,5.3750372,0.66036033,0.066246057
